Menu,Category,괄호
김치삼겹살볶음,한식,['(kimchi samgyeopsal bokkeum)']
국수볶음,한식,['(guksu bokkeum)']
공깃밥볶음,한식,['(gonggi bap bokkeum)']
고추장불고기,한식,['(gochujang bulgogi)']
고추장(돈)불고기 bulgogi),한식,['(gochujang (don)']
고추장장어구이,한식,['(gochujang jangeo gui)']
고추장삼겹살,한식,['(gochujang samgyeopsal)']
고추장주물럭,한식,['(gochujang jumulleok)']
갈비구이,한식,['(galbi gui)']
곱창구이,한식,['(gopchang gui)']
갈치카레구이,한식,['(galchi curry gui)']
갈치구이,한식,['(galchi gui)']
광어구이,한식,['(gwangeo gui)']
고등어구이,한식,['(godeungeo gui)']
꽁치구이,한식,['(kkongchi gui)']
가리비구이,한식,['(garibi gui)']
관자살돌판구이,한식,['(gwanjasal dolpan gui)']
김구이,한식,['(gim gui)']
꼬치구이,한식,['(kkochi gui)']
가자미구이,한식,['(gajami gui)']
갈빗살숯불구이,한식,['(galbitsal sutbul gui)']
꼼장어소금구이,한식,['(kkomjangeo sogeum gui)']
간고등어구이,한식,['(gan godeungeo gui)']
고등어소금구이,한식,['(godeungeo sogeum gui)']
감자불고기,한식,['(gamja bulgogi)']
가제육,한식,['(gajeyuk)']
광양닭숯불구이,한식,['(Gwangyang dak sutbul gui)']
광양불고기,한식,['(Gwangyang bulgogi)']
광양숯불장어구이,한식,['(Gwangyang sutbul jangeo gui)']
국내산 갈치구이,한식,['(gungnaesan galchi gui)']
꽃마름광양중동점,한식,['()']
군위이로운한우,한식,['()']
군위참좋은한우,한식,['()']
곱창구이(돼지),한식,['()']
간장통닭,한식,['(ganjang tongdak)']
광양숯불구이,한식,['(gwangyang sutbulgui)']
갑오징어돌판구이,한식,['(gabojingeo dolpan gui)']
고추장뚝배기불고기,한식,['(gochujang ttukbaegi bulgogi)']
간고등어 반마리 구이,한식,['(gan godeungeo ban mari gui)']
꽁치양념구이,한식,['(kkongchi yangnyeom gui)']
고등어오븐구이,한식,['(godeungeo oven gui)']
곤드레불고기,한식,['(gondeure bulgogi)']
갑오징어구이,한식,['(gabojingeo gui)']
강진황금한우생고기,한식,['(Gangjin hwanggeum Hanwoo saenggogi)']
갯장어구이,한식,['(gaetjangeo gui)']
거창사과돼지갈비,한식,['(Geochang sagwa dwaeji galbi)']
간장과일양념닭갈비,한식,['(ganjang gwail yangnyeom dakgalbi)']
간장닭갈비,한식,['(ganjang dakgalbi)']
갈비꽃살,한식,['(galbi kkotsal)']
갈비살구이B,한식,['(galbisal gui B)']
갈비살주물럭,한식,['(galbisal jumulleok)']
꼼장어구이,한식,['(kkomjangeo gui)']
꿀양념오리숯불구이,한식,['(kkul yangnyeom ori sutbul gui)']
김치돼지갈비,한식,['(kimchi dwaeji galbi)']
김치삼겹철판구이,한식,['(kimchi samgyeop cheolpan gui)']
굴비구이,한식,['(gulbi gui)']
고추장닭갈비,한식,['(gochujang dakgalbi)']
고추장돈불고기,한식,['(gochujang don bulgogi)']
고추장숯불닭갈비,한식,['(gochujang sutbul dakgalbi)']
계절맛전,한식,['(gyejeol mat jeon)']
감자전,한식,['(gamja jeon)']
고기전,한식,['(gogi jeon)']
굴전,한식,['(gul jeon)']
굴파전,한식,['(gul pajeon)']
굴해물전,한식,['(gul haemul jeon)']
굴해물파전,한식,['(gul haemul pajeon)']
김치전,한식,['(kimchi jeon)']
깻잎전,한식,['(kkaennip jeon)']
감자말이새우튀김,한식,['(gamjamari saeu twigim)']
고구마튀김,한식,['(goguma twigim)']
